study_accession	sample_accession	experiment_accession	run_accession	scientific_name	library_name	nominal_length	library_source	read_count	study_title	fastq_bytes	fastq_md5	fastq_ftp	sample_alias	Year
PRJEB7866	SAMEA3143270	ERX639283	ERR694366	metagenome	FS896_ElGuapo_RNA	292	METATRANSCRIPTOMIC	231682	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	20817283;21360730	59ab4389921bd570f61d754598a2f5f5;749b9c54fb69f2d7f0ddd1661317c4e1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694366/ERR694366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694366/ERR694366_2.fastq.gz	FS896_ElGuapo_RNA	2013
PRJEB7866	SAMEA3143272	ERX639284	ERR694367	metagenome	FS898_N3Area_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	327482703;332436516	b2657f102c47cfc1594dd879c70d9601;52a1cab1126cb55aee7a5e2858b55dd8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694367/ERR694367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694367/ERR694367_2.fastq.gz	FS898_N3Area_RNA	2013
PRJEB7866	SAMEA3143272	ERX639285	ERR694368	metagenome	FS898_N3Area_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	320536125;326009585	d27e9f692e4d4bddc671aab97dca3757;6f97cbdf0ea63f812e1298ba0a55b102	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694368/ERR694368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694368/ERR694368_2.fastq.gz	FS898_N3Area_RNA	2013
PRJEB7866	SAMEA3143272	ERX639286	ERR694369	metagenome	FS898_N3Area_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	322298998;328114296	deae1c2ad0072fe69120e6620a1734e4;82db63444ee0f3831946a5532719b9b0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694369/ERR694369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694369/ERR694369_2.fastq.gz	FS898_N3Area_RNA	2013
PRJEB7866	SAMEA3143272	ERX639287	ERR694370	metagenome	FS898_N3Area_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	321992777;329489497	7b444822d5ead62dcfdcfe281886f7d9;d97c9bcc4c1e1ebe47ec6e21cc6742a3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694370/ERR694370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694370/ERR694370_2.fastq.gz	FS898_N3Area_RNA	2013
PRJEB7866	SAMEA3143272	ERX639288	ERR694371	metagenome	FS898_N3Area_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	323638954;330407752	e2a47148e803068461ec58a79ead8621;34336d264662ec31342e0032ecabdcff	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694371/ERR694371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694371/ERR694371_2.fastq.gz	FS898_N3Area_RNA	2013
PRJEB7866	SAMEA3143272	ERX639289	ERR694372	metagenome	FS898_N3Area_RNA	292	METATRANSCRIPTOMIC	23363	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	2050641;2106406	87049017cc247802ee68c6218fcbdfcc;29418b1fbfd86e8f7dd3e1a5bbbfc827	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694372/ERR694372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694372/ERR694372_2.fastq.gz	FS898_N3Area_RNA	2013
PRJEB7866	SAMEA3143274	ERX639290	ERR694373	metagenome	FS900_Dependable_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	353186258;362257127	23014386461d8b0758b4a4ea02f92f89;a44f7b6a84c9152a4d60513a316803e5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694373/ERR694373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694373/ERR694373_2.fastq.gz	FS900_Dependable_RNA	2013
PRJEB7866	SAMEA3143274	ERX639291	ERR694374	metagenome	FS900_Dependable_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	350464981;360368900	a1d0d829d840e42459969c491ea7ce3f;f965ea73cc748cc0e4d3fc137f61e2f0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694374/ERR694374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694374/ERR694374_2.fastq.gz	FS900_Dependable_RNA	2013
PRJEB7866	SAMEA3143274	ERX639292	ERR694375	metagenome	FS900_Dependable_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	350533826;361758135	0402056690ffbf6a778638abf1085bac;aa0921a2546dcfda7c8e4401d15dbde7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694375/ERR694375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694375/ERR694375_2.fastq.gz	FS900_Dependable_RNA	2013
PRJEB7866	SAMEA3143274	ERX639293	ERR694376	metagenome	FS900_Dependable_RNA	292	METATRANSCRIPTOMIC	2667175	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	233414606;240900266	05a474f7ca07bc1df1fd4ebd38a6b748;bdcd77d0bda953fd3328c891f7151f80	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694376/ERR694376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694376/ERR694376_2.fastq.gz	FS900_Dependable_RNA	2013
PRJEB7866	SAMEA3143266	ERX639294	ERR694377	metagenome	FS904_Marker33_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	318285520;327012319	f5d63978cfda4b27d3a862d2bc5c6c2c;3589c414b033f34177402cafd907693d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694377/ERR694377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694377/ERR694377_2.fastq.gz	FS904_Marker33_RNA	2013
PRJEB7866	SAMEA3143266	ERX639295	ERR694378	metagenome	FS904_Marker33_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	310161460;320308072	fd0e1210636fa34324aeaa6d6b995ba1;1cde5168aaeb1275d897e4d0b8bcb8d7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694378/ERR694378_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694378/ERR694378_2.fastq.gz	FS904_Marker33_RNA	2013
PRJEB7866	SAMEA3143266	ERX639296	ERR694379	metagenome	FS904_Marker33_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	308443073;317936669	cc6c41331802bbc9a4d20e6262dce567;1c8e87d37d4745f221f0589f56ab6925	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694379/ERR694379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694379/ERR694379_2.fastq.gz	FS904_Marker33_RNA	2013
PRJEB7866	SAMEA3143266	ERX639297	ERR694380	metagenome	FS904_Marker33_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	312108197;323220108	e07a0572f462ce5cd0f6103586076415;02e65f3864d3fc93af1d8d5c2eaad444	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694380/ERR694380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694380/ERR694380_2.fastq.gz	FS904_Marker33_RNA	2013
PRJEB7866	SAMEA3143266	ERX639298	ERR694381	metagenome	FS904_Marker33_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	305689399;317394143	d5fb0401503d864d18d745efa4b3dfb0;5f588b878358b5c98100075504e3e1bb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694381/ERR694381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694381/ERR694381_2.fastq.gz	FS904_Marker33_RNA	2013
PRJEB7866	SAMEA3143266	ERX639299	ERR694382	metagenome	FS904_Marker33_RNA	292	METATRANSCRIPTOMIC	2996980	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	234700293;242416291	147dc4a00979b6179f79786c8d5a6587;18e52e0b9037fb5dd284ebc29a95df86	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694382/ERR694382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694382/ERR694382_2.fastq.gz	FS904_Marker33_RNA	2013
PRJEB7866	SAMEA3143264	ERX639300	ERR694383	metagenome	FS903_Marker113_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	286683252;303697396	e3e8d8749098dae9e6f8e91da8a77ac9;a994e767adb103cc208b134016f6d928	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694383/ERR694383_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694383/ERR694383_2.fastq.gz	FS903_Marker113_RNA	2013
PRJEB7866	SAMEA3143264	ERX639301	ERR694384	metagenome	FS903_Marker113_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	287445888;305683299	928072728ddc431bbc800f3c1628281c;9cb3367916660aa0c5e13c6ec5a9e5b8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694384/ERR694384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694384/ERR694384_2.fastq.gz	FS903_Marker113_RNA	2013
PRJEB7866	SAMEA3143264	ERX639302	ERR694385	metagenome	FS903_Marker113_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	286407845;304100292	cc452d69eb78d79e6ad82f1697343791;49d32504864bb02e6866b222fbcb39dc	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694385/ERR694385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694385/ERR694385_2.fastq.gz	FS903_Marker113_RNA	2013
PRJEB7866	SAMEA3143264	ERX639303	ERR694386	metagenome	FS903_Marker113_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	286843762;304389893	f1b087e8eca74e4101e348ddd6d5ea19;788af8c00be36d84fbfa91d0de43669f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694386/ERR694386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694386/ERR694386_2.fastq.gz	FS903_Marker113_RNA	2013
PRJEB7866	SAMEA3143264	ERX639304	ERR694387	metagenome	FS903_Marker113_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	280654886;300455744	6c5e7f6c1b4c2e59159f438b5530c3f3;ec394e3b554bc86b9cae8f9f794ef95b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694387/ERR694387_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694387/ERR694387_2.fastq.gz	FS903_Marker113_RNA	2013
PRJEB7866	SAMEA3143264	ERX639305	ERR694388	metagenome	FS903_Marker113_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	281978201;303130537	af35cd6da7a20d548ad718583a13d1bc;0e7d595e89e3fbce360457d275a72aa0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694388/ERR694388_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694388/ERR694388_2.fastq.gz	FS903_Marker113_RNA	2013
PRJEB7866	SAMEA3143264	ERX639306	ERR694389	metagenome	FS903_Marker113_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	283213720;303311969	43c914bc0ef8006908659e8acc8c3309;c7648486eff09055f41f4a0b4005b8f7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694389/ERR694389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694389/ERR694389_2.fastq.gz	FS903_Marker113_RNA	2013
PRJEB7866	SAMEA3143264	ERX639307	ERR694390	metagenome	FS903_Marker113_RNA	292	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	285356204;304957241	d6db93cdf06d3dec7e6e461e951e551b;b20fa8c4bdaf14c43298f84504ff7e98	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694390/ERR694390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694390/ERR694390_2.fastq.gz	FS903_Marker113_RNA	2013
PRJEB7866	SAMEA3143264	ERX639308	ERR694391	metagenome	FS903_Marker113_RNA	292	METATRANSCRIPTOMIC	241582	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	18751738;19713552	92128fbe4a4d9a65d24d3c913450ef4a;03a19954e09ffd1a64af768990f2282b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694391/ERR694391_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694391/ERR694391_2.fastq.gz	FS903_Marker113_RNA	2013
PRJEB12000	SAMEA3696445	ERX1236484	ERR1163077	metagenome	CTD1200_RNA	290	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	264898903;268988917	c274d27ca4c346bf473e542fb5353c2a;8421c923ca289af7893c2ee724f41264	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/007/ERR1163077/ERR1163077_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/007/ERR1163077/ERR1163077_2.fastq.gz	CTD1200_RNA	2014
PRJEB12000	SAMEA3696445	ERX1236485	ERR1163078	metagenome	CTD1200_RNA	290	METATRANSCRIPTOMIC	881720	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	58419501;59720654	c7fa2cf46b72408816a220d9da9a0da4;a7848ec6a75e90c6479f7245a9ddee84	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/008/ERR1163078/ERR1163078_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/008/ERR1163078/ERR1163078_2.fastq.gz	CTD1200_RNA	2014
PRJEB12000	SAMEA3696445	ERX1236486	ERR1163079	metagenome	CTD1200_RNA	290	METATRANSCRIPTOMIC	956324	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	62497217;63358427	50b61a2d23444389d18d9854cb1fb6d6;2d91fbcdbfc5802ad6d5acbbad3eee0a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/009/ERR1163079/ERR1163079_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/009/ERR1163079/ERR1163079_2.fastq.gz	CTD1200_RNA	2014
PRJEB12000	SAMEA3696445	ERX1236487	ERR1163080	metagenome	CTD1200_RNA	290	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	349061778;352127698	0993004e13c737fe99c8d1328e3cb532;eeee0bb5c4f7051ed652b7b989383d83	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/000/ERR1163080/ERR1163080_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/000/ERR1163080/ERR1163080_2.fastq.gz	CTD1200_RNA	2014
PRJEB12000	SAMEA3696445	ERX1236488	ERR1163081	metagenome	CTD1200_RNA	290	METATRANSCRIPTOMIC	2920861	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	257373314;260054791	1b5bb9d17fa28d4cff018e2b50fe9cb3;2905220496d8bc0b6beb6aa8e66c198f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/001/ERR1163081/ERR1163081_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/001/ERR1163081/ERR1163081_2.fastq.gz	CTD1200_RNA	2014
PRJEB12000	SAMEA3696447	ERX1236502	ERR1163095	metagenome	FS906_Marker113_RNA	290	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	227452500;224551625	cdc3324d644bf2e1ea762a8ca6e7fa73;0f979b28dcf027b8dd5317e4a909f7b8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/005/ERR1163095/ERR1163095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/005/ERR1163095/ERR1163095_2.fastq.gz	FS906_Marker113_RNA	2014
PRJEB12000	SAMEA3696447	ERX1236503	ERR1163096	metagenome	FS906_Marker113_RNA	290	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	226690237;225705658	5c3e653955d3235a5db93aeb37de5afd;9201fd9fc8830c9988e936a32114f438	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/006/ERR1163096/ERR1163096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/006/ERR1163096/ERR1163096_2.fastq.gz	FS906_Marker113_RNA	2014
PRJEB12000	SAMEA3696447	ERX1236504	ERR1163097	metagenome	FS906_Marker113_RNA	290	METATRANSCRIPTOMIC	1224457	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	70088641;70580568	ad3e4c22a25b323ee5ab0599cba6d736;fcbb032d7158dc666ba0edcc4d610e74	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/007/ERR1163097/ERR1163097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/007/ERR1163097/ERR1163097_2.fastq.gz	FS906_Marker113_RNA	2014
PRJEB12000	SAMEA3696447	ERX1236505	ERR1163098	metagenome	FS906_Marker113_RNA	290	METATRANSCRIPTOMIC	1812776	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	101117186;99878646	302c980850a24324f21b1021b0806dba;ba3a6959b56b3872f9ae199a24846f9f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/008/ERR1163098/ERR1163098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/008/ERR1163098/ERR1163098_2.fastq.gz	FS906_Marker113_RNA	2014
PRJEB12000	SAMEA3696447	ERX1236506	ERR1163099	metagenome	FS906_Marker113_RNA	290	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	305176960;304083722	4bf7b4ef05b1b92715626e19e1dea4d4;bcfc3c6c348ca870442bc2acde6b226e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/009/ERR1163099/ERR1163099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/009/ERR1163099/ERR1163099_2.fastq.gz	FS906_Marker113_RNA	2014
PRJEB12000	SAMEA3696447	ERX1236507	ERR1163100	metagenome	FS906_Marker113_RNA	290	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	307876891;306397557	532ad24a7b0b8ca629296dfe2ca2ad96;fdcf6e3ec4fe9331120a2195929583b9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/000/ERR1163100/ERR1163100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/000/ERR1163100/ERR1163100_2.fastq.gz	FS906_Marker113_RNA	2014
PRJEB12000	SAMEA3696447	ERX1236508	ERR1163101	metagenome	FS906_Marker113_RNA	290	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	305695028;304767089	349ad187dffcf4e82dd9e88b1dd8076f;451e8c496c45e0f664169359cea6f6cc	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/001/ERR1163101/ERR1163101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/001/ERR1163101/ERR1163101_2.fastq.gz	FS906_Marker113_RNA	2014
